1.1,39.6558,29.2942,2023-12-15T10:11:25,Tavşanlı (Kütahya),-7.0
1.4,40.5539,29.34,2023-12-15T09:56:18,Orhangazi (Bursa),-5.61
1.1,38.2919,38.2406,2023-12-15T09:49:51,Yeşilyurt (Malatya),-7.0
1.8,36.6303,28.2708,2023-12-15T09:37:51,Akdeniz - [12.41 km] Marmaris (Muğla),-7.0
1.0,37.9433,31.4742,2023-12-15T09:34:00,Şarkikaraağaç (Isparta),-7.0
1.9,39.6633,27.9206,2023-12-15T09:30:11,Altıeylül (Balıkesir),-12.14
1.3,39.4353,29.2325,2023-12-15T09:25:43,Emet (Kütahya),-7.0
1.2,38.0839,38.2853,2023-12-15T09:23:06,Çelikhan (Adıyaman),-7.0
0.7,38.5831,29.2903,2023-12-15T09:18:54,Merkez (Uşak),-7.0
0.9,38.5036,29.2203,2023-12-15T09:17:04,Ulubey (Uşak),-7.0
1.5,38.5781,39.5753,2023-12-15T09:12:29,Maden (Elazığ),-6.99
2.3,38.3725,37.3925,2023-12-15T09:09:40,Elbistan (Kahramanmaraş),-7.03
2.6,40.4203,28.8536,2023-12-15T09:05:15,Marmara Denizi - Gemlik Körfezi - [04.34 km] Mudanya (Bursa),-6.99
1.3,39.3981,38.1058,2023-12-15T09:00:31,Divriği (Sivas),-6.96
1.4,37.8564,36.2319,2023-12-15T08:58:22,Saimbeyli (Adana),-7.0
1.9,40.7208,35.9678,2023-12-15T08:54:36,Merkez (Amasya),-17.25
1.4,37.9344,29.5247,2023-12-15T08:41:10,Baklan (Denizli),-7.0
1.9,37.6375,26.5933,2023-12-15T08:04:44,Ege Denizi - [51.70 km] Söke (Aydın),-7.0
2.0,37.8678,26.9872,2023-12-15T07:36:10,Ege Denizi - Kuşadası Körfezi - [19.51 km] Menderes (İzmir),-7.03
1.4,38.1511,38.5222,2023-12-15T07:23:00,Sincik (Adıyaman),-7.25
1.8,35.7614,28.64,2023-12-15T07:13:19,Akdeniz - [83.73 km] Kaş (Antalya),-5.3
1.6,36.2594,28.8869,2023-12-15T07:12:37,Akdeniz - [32.15 km] Fethiye (Muğla),-7.2
2.0,37.5617,37.2611,2023-12-15T07:05:04,Pazarcık (Kahramanmaraş),-12.73
1.5,37.8994,36.3839,2023-12-15T06:40:35,Göksun (Kahramanmaraş),-7.38
1.4,37.6192,35.8892,2023-12-15T06:38:27,Kozan (Adana),-7.0
1.5,37.6164,38.8831,2023-12-15T06:23:33,Hilvan (Şanlıurfa),-7.03
1.3,40.7194,30.6744,2023-12-15T04:56:58,Hendek (Sakarya),-7.0
1.3,37.7858,35.6508,2023-12-15T04:56:48,Kozan (Adana),-6.99
1.8,38.0833,38.1914,2023-12-15T04:51:07,Çelikhan (Adıyaman),-6.95
2.1,40.8758,31.5217,2023-12-15T04:11:19,Yığılca (Düzce),-7.0
1.2,38.0983,36.6747,2023-12-15T03:24:00,Göksun (Kahramanmaraş),-7.09
1.1,37.3886,37.085,2023-12-15T03:21:29,Dulkadiroğlu (Kahramanmaraş),-8.81
1.6,38.3711,37.5922,2023-12-15T03:18:05,Darende (Malatya),-6.99
1.4,38.3272,37.3881,2023-12-15T02:54:47,Elbistan (Kahramanmaraş),-7.0
1.6,38.1881,38.61,2023-12-15T01:51:15,Pütürge (Malatya),-6.96
1.7,37.8208,26.97,2023-12-15T01:34:06,Ege Denizi - Kuşadası Körfezi - [24.09 km] Kuşadası (Aydın),-7.0
2.2,38.2358,25.7869,2023-12-15T01:18:55,Ege Denizi - [41.11 km] Çeşme (İzmir),-5.7
1.7,38.125,37.0533,2023-12-15T00:57:00,Elbistan (Kahramanmaraş),-6.98
1.2,38.4419,39.2097,2023-12-15T00:48:31,Sivrice (Elazığ),-7.96
1.9,38.2975,38.2586,2023-12-15T00:33:05,Yeşilyurt (Malatya),-7.05
1.6,37.3844,35.0236,2023-12-15T00:29:06,Karaisalı (Adana),-7.1
1.3,38.1,36.8331,2023-12-15T00:24:56,Göksun (Kahramanmaraş),-6.71
1.8,38.915,37.3361,2023-12-15T00:13:21,Gürün (Sivas),-7.0
2.3,35.9197,30.3772,2023-12-15T00:01:25,Akdeniz - [43.51 km] Kumluca (Antalya),-16.57
